x,p,d,q,P,D,Q,p_norm,p_estac,p_ind,AIC.model
795,0,0,5,3,0,2,0.545106828219274,0.315727913741302,0.541472384661427,70.5110440992956
771,0,0,5,2,0,2,0.547568922917114,0.307227576337279,0.530770809778667,68.5997629003159
749,0,0,5,1,0,4,0.55548815787318,0.308432009376052,0.534382059247002,70.4704691318569
828,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
829,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
830,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
831,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
832,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
833,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
834,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
835,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
836,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
837,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
838,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
839,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
840,0,0,5,4,1,5,0.560319915811772,0.538653485635412,0.679052174388638,87.7983808700483
825,0,0,5,4,1,2,0.561924221007506,0.540905614097595,0.696239536997046,81.9157278316623
656,0,0,4,3,1,1,0.56857729158214,0.671345309951359,0.979247697315217,86.2728939857455
780,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
781,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
782,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
783,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
784,0,0,5,2,1,5,0.573540950747007,0.541157772032282,0.664528018872021,84.0782224303589
